
thermo_style            custom step etotal ke pe density temp press
thermo                  1000

dump                    myDump all xyz 5000 N2_Shock\dump.xyz


# ----------------------------
# Boundary conditions
# ----------------------------

fix xwalls all wall/reflect xhi 16000 units box


# Continue piston from previous position

variable piston_start equal 400000

variable wall_mov equal (step+v_piston_start)*dt*0.01421

fix piston all wall/reflect xlo v_wall_mov units box


# ----------------------------
# Integration
# ----------------------------

fix integrator all nve


# ----------------------------
# Density measurement
# ----------------------------

compute chunks_x all chunk/atom bin/1d x 0.0 10.0 units box

compute temp_chunk all temp/chunk chunks_x temp com yes


fix density_measure all ave/chunk 100 10 1000 chunks_x vx temp density/number density/mass bias temp_chunk norm sample file N2_Shock\dens_contd.profile


# ----------------------------
# Restart files
# ----------------------------

restart 100000 N2_Shock\restart\shock_combined_1.restart


run 400000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 16.5
  ghost atom cutoff = 16.5
  binsize = 8.25, bins = 1940 32 32
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 33.5 | 47.91 | 69.24 Mbytes
   Step         TotEng         KinEng         PotEng        Density          Temp          Press     
     34000   1454079.4      1420333.4      33746.007      0.0078617168   1344.4174      48.29822     
     35000   1456595.2      1422747.7      33847.498      0.0078617168   1346.7026      48.264201    
     36000   1459469.8      1425506.5      33963.239      0.0078617168   1349.314       48.901489    
     37000   1461839.4      1427807.8      34031.515      0.0078617168   1351.4923      48.30078     
     38000   1464599.2      1430588.6      34010.569      0.0078617168   1354.1244      48.753998    
     39000   1466530.8      1432705.1      33825.715      0.0078617168   1356.1278      48.945744    
     40000   1469479.5      1435708.5      33771.051      0.0078617168   1358.9706      48.806974    
     41000   1472010.2      1438173.8      33836.405      0.0078617168   1361.3042      48.984309    
     42000   1474941.2      1441065.8      33875.425      0.0078617168   1364.0416      49.118416    
     43000   1477440.7      1443818        33622.704      0.0078617168   1366.6467      49.564981    
     44000   1480294.7      1446312.4      33982.308      0.0078617168   1369.0078      48.822976    
     45000   1482825.8      1448968.2      33857.655      0.0078617168   1371.5216      49.426453    
     46000   1485615.1      1451637        33978.076      0.0078617168   1374.0478      49.796377    
     47000   1488718.9      1454628.3      34090.606      0.0078617168   1376.8792      49.383995    
     48000   1491521.1      1458035        33486.091      0.0078617168   1380.1038      49.650311    
     49000   1493856.3      1460042.7      33813.621      0.0078617168   1382.0042      50.216253    
     50000   1496728.2      1462591.9      34136.315      0.0078617168   1384.4171      49.865425    
     51000   1498989        1465290.7      33698.286      0.0078617168   1386.9717      49.82024     
     52000   1501498.9      1467450.4      34048.506      0.0078617168   1389.016       50.787494    
     53000   1504179.6      1470326.6      33853.064      0.0078617168   1391.7384      49.665856    
     54000   1507111.7      1473242.1      33869.587      0.0078617168   1394.4981      50.284516    
     55000   1509732.8      1475688.3      34044.54       0.0078617168   1396.8135      50.62601     
     56000   1512458.2      1478362.6      34095.613      0.0078617168   1399.3449      50.262901    
     57000   1514786.4      1480921        33865.458      0.0078617168   1401.7665      50.724819    
     58000   1517481.3      1483500.1      33981.132      0.0078617168   1404.2078      50.536445    
     59000   1520181.4      1485865.1      34316.281      0.0078617168   1406.4464      50.613987    
     60000   1522804.2      1489086.2      33718.026      0.0078617168   1409.4953      50.921166    
     61000   1525379.1      1491368.5      34010.657      0.0078617168   1411.6556      51.112836    
